reaction	linear_coefficient
12DGR120tipp	0.026540507762563715
12DGR140tipp	0.026540507762563715
12DGR141tipp	0.026540507762563715
12DGR160tipp	0.026540507762563715
12DGR161tipp	0.026540507762563715
12DGR180tipp	0.026540507762563715
12DGR181tipp	0.026540507762563715
2AGPA120tipp	0.20810950094197514
2AGPA140tipp	0.20810950094197514
2AGPA141tipp	0.20810950094197514
2AGPA160tipp	0.20810950094197514
2AGpa161tipp	0.20810950094197514
2AGPA161tipp	0.20810950094197514
2AGPA180tipp	0.20810950094197514
2AGPA181tipp	0.20810950094197514
2AGPE120tipp	0.20810950094197514
2AGPE140tipp	0.20810950094197514
2AGPE141tipp	0.20810950094197514
2AGPE160tipp	0.20810950094197514
2AGpe161tipp	0.20810950094197514
2AGPE161tipp	0.20810950094197514
2AGPE180tipp	0.20810950094197514
2agpe181tipp	0.20810950094197514
2AGPG120tipp	0.20810950094197514
2AGPG140tipp	0.20810950094197514
2AGPG141tipp	0.20810950094197514
2AGPG160tipp	0.20810950094197514
2AGpg161tipp	0.20810950094197514
2AGPG161tipp	0.20810950094197514
2AGPG180tipp	0.20810950094197514
2agpg181tipp	0.20810950094197514
2MAHMP	0.03049225668481799
34dhpactex	0.1389563913889379
3AMPtex	0.1389563913889379
3CMPtex	0.1389563913889379
3HAD100	0.030369098876175
3HAD120	0.030369098876175
3HAD121	0.030369098876175
3HAD140	0.030369098876175
3HAD141	0.030369098876175
3HAD160	0.030369098876175
3HAD161	0.030369098876175
3HAD161x	0.030369098876175
3HAD180	0.030369098876175
3HAD181a	0.030369098876175
3HAD40	0.030369098876175
3HAD60	0.030369098876175
3HAD80	0.030369098876175
3OAR100	0.1846716225894559
3OAR120	0.1846716225894559
3OAR121	0.1846716225894559
3OAR140	0.1846716225894559
3OAR141	0.1846716225894559
3OAR160	0.1846716225894559
3OAR161	0.1846716225894559
3OAR161x	0.1846716225894559
3OAR180	0.1846716225894559
3OAR181x	0.1846716225894559
3OAR40	0.1846716225894559
3OAR60	0.1846716225894559
3OAR80	0.1846716225894559
3OAS100	0.2061058181321296
3OAS120	0.2061058181321296
3OAS121	0.2061058181321296
3OAS140	0.2061058181321296
3OAS141	0.2061058181321296
3OAS160	0.2061058181321296
3OAS161	0.2061058181321296
3OAS161a	0.2061058181321296
3OAS180	0.2061058181321296
3OAS181a	0.2061058181321296
3OAS60	0.2061058181321296
3OAS80	0.2061058181321296
3PEPTtex	0.1389563913889379
3UMPtex	0.1389563913889379
4HOXPACDtex	0.1389563913889379
4HTHRS	0.10069694445011458
4PEPTtex	0.1389563913889379
5DGLCNtex	0.1389563913889379
5DOAN	0.02957804679758351
A5PISO	0.02160121026855312
ABUTtex	0.1389563913889379
ACACtex	0.1389563913889379
ACCOAC	0.12376534937670484
ACGALtex	0.1389563913889379
ACGAM1Ptex	0.1389563913889379
ACGAMT	0.028161731998189162
ACGAtex	0.1389563913889379
ACGK	0.01624858243137714
ACGS	0.017357002709164026
ACHBS	0.09701168386841288
ACKr	0.23345632532846067
ACLS	0.09701168386841288
ACMANAtex	0.1389563913889379
ACMUMtex	0.1389563913889379
ACOATA	0.5761855594267178
ACODA	0.01978226417167208
ACONIs	0.026540507762563715
ACONTa	0.51049981587086
ACONTb	0.51049981587086
ACOTA	0.027877521670551495
ACPH	0.026540507762563715
ACPS1	0.0214212103943826
ACS	0.009555429215510192
ACSERtex	0.1389563913889379
ACt2rpp	0.026540507762563715
ACtex	0.1389563913889379
ADCL	0.10299904810397965
ADCS	0.10299904810397965
ADEt2rpp	0.021705420722020263
ADEtex	0.1389563913889379
ADK1	0.04730803440337968
ADK3	0.04730803440337968
ADK4	0.04730803440337968
ADPT	0.018332791500719998
ADSL1r	0.08956063644551217
ADSL2r	0.08956063644551217
ADSS	0.14771006948017792
AGM3PA	0.010573849556211814
AGM3PApp	0.026508575259096754
AGM3PH	0.009365955663751748
AGM3Pt2pp	0.017087002897908248
AGM4PA	0.010573849556211814
AGM4PApp	0.026508575259096754
AGM4PCP	0.014675951951782076
AGM4PCPpp	0.026540507762563715
AGM4PH	0.009365955663751748
AGM4Pt2pp	0.017087002897908248
AGMH	0.009365955663751748
AGMHE	0.03422962249325326
AGMT	0.051632768222266125
AGMt2pp	0.017087002897908248
AGMtex	0.1389563913889379
AGPAT120	0.020213316501922533
AGPAT140	0.020213316501922533
AGPAT141	0.020213316501922533
AGPAT160	0.020213316501922533
AGPAT160a	0.020213316501922533
AGPAT161a	0.020213316501922533
AGPAT180	0.020213316501922533
AGPAT181	0.020213316501922533
AGPR	0.02503068155538091
Agt	0.025494891757189095
AHCYSNS	0.02957804679758351
AICART	0.11508746070616821
AIRC2	0.039620145040780916
AIRC3	0.007708062085865385
AKGDH	0.4246967179570497
AKGt3pp	0.09525431667585334
AKGtex	0.1389563913889379
ALAabcpp	0.16990215922988539
ALAALAr	0.030018572805421882
ALAALAtex	0.1389563913889379
ALADt2pp	0.20258161006942263
ALAR	0.1009622074225764
ALAt1pp	0.20258161006942263
ALAt2pp	0.20258161006942263
ALAtex	0.1389563913889379
ALCD19	0.026540507762563715
ALDD2x	0.05152855776879898
ALDD3y	0.026540507762563715
ALLtex	0.1389563913889379
ALLTNtex	0.1389563913889379
AM3PA	0.010573849556211814
AM4PA	0.010573849556211814
AM4PCP	0.014675951951782076
AMAOTr	0.010701744203648764
AMPMS2	0.003885433179138825
AMPTASEAGl	0.08662853323205029
AMPTASECG	0.08662853323205029
AMPtex	0.1389563913889379
ANHGMtex	0.1389563913889379
ANHMK	0.012089637970279348
ANPRT	0.025276997172666887
ANS	0.04341435291474371
AOXSr	0.019877000947551297
APRAUR	0.01705384502635052
ARBtex	0.1389563913889379
ARGabcpp	0.16990215922988539
ARGDC	0.13918375965104804
ARGSL	0.11198483129612373
ARGSS	0.05104540021181495
ARGt1pp	0.20258161006942263
ARGt2pp	0.09525431667585334
ARGtex	0.1389563913889379
ASAD	0.11100430566577381
ASCBtex	0.1389563913889379
ASNabcpp	0.16990215922988539
ASNN	0.021227000003830192
ASNNpp	0.021227000003830192
ASNSYN	0.14894164756660777
ASNt1pp	0.20258161006942263
ASNt2pp	0.09525431667585334
ASNtex	0.1389563913889379
ASO3tex	0.1389563913889379
ASP1DC	0.016466477015899348
ASPabcpp	0.16990215922988539
ASPCT	0.09923326126278062
ASPK	0.08408958763848717
ASPO3	0.03472699056661916
ASPO5	0.03472699056661916
ASPO6	0.03472699056661916
ASPT	0.025002260522617146
ASPt1pp	0.20258161006942263
ASPt2pp	0.09525431667585334
ASPTA	0.06931538744012268
ASPtex	0.1389563913889379
ATHRDHr	0.027432258823919163
ATPHs	0.026540507762563715
ATPM	0.026540507762563715
ATPPRT	0.15749164158970747
ATPS4rpp	0.8065569773322191
BALAtex	0.1389563913889379
BTS4	0.038658566765606826
BUTSO3tex	0.1389563913889379
BUTtex	0.1389563913889379
CA2tex	0.1389563913889379
CAT	0.16380584770205753
CAt1pp	0.026540507762563715
CBPS	0.20395529331967133
CD2t3pp	0.018422791437805258
CD2tex	0.1389563913889379
CDPMEK	0.08122380016814074
CGLYtex	0.1389563913889379
CHLt2pp	0.009721218573298827
CHLtex	0.1389563913889379
CHORM	0.1117811472279834
CHORS	0.021009105419307988
CHRPL	0.002345960571101486
CITt1pp	0.02884383678451955
CITt2pp	0.0033312230402453833
CITtex	0.1389563913889379
CLt4	0.008717008748979087
CLtex	0.1389563913889379
CMPtex	0.1389563913889379
CO2tex	0.1389563913889379
CO2tpp	0.026540507762563715
COBALT2t1pp	0.026540507762563715
COBALT2t2pp	0.025646470598595844
COBALT2tex	0.1389563913889379
COtex	0.1389563913889379
COtpp	0.026540507762563715
CPPPGO2	0.06742538876133224
CRNtex	0.1389563913889379
CS	0.330679941574511
CSNt2pp	0.021705420722020263
CSNtex	0.1389563913889379
CTPS2	0.12193219276344193
CTPS3	0.01869279124906104
CU1abcpp	0.019185422483632985
CU1Opp	0.12113640384605648
CU2abcpp	0.026319101707338317
CU2tex	0.1389563913889379
CU2tpp	0.026540507762563715
Cuabcpp	0.003582275496325318
CUtex	0.1389563913889379
CYANtex	0.1389563913889379
CYNTtex	0.1389563913889379
